City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mana,GF,77.81,overcast clouds,5.6592,-53.7767,LE SAMANA
1,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
2,Inirida,CO,78.39,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
5,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
7,Rikitea,PF,76.42,few clouds,-23.1203,-134.9692,People ThankYou
9,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Faanui,PF,81.16,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
15,Tharad,IN,84.49,few clouds,24.3961,71.6267,Shree Nandan Couriyar Service
21,Atuona,PF,78.24,light rain,-9.8,-139.0333,Villa Enata
23,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
24,Suba,PH,83.46,overcast clouds,10.8438,121.0102,Jarnchi Pension House
31,Namibe,AO,75.74,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
42,Savannah Bight,HN,82.27,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
48,Marzuq,YE,77.27,scattered clouds,14.4,46.4667,
50,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Butaritari,KI,81.43,broken clouds,3.0707,172.7902,Isles Sunset Lodge
56,Port Blair,IN,82.56,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
57,Sabang,ID,83.55,overcast clouds,5.8933,95.3214,Hotel Citra
60,Dingle,PH,76.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
76,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
