City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mana,GF,5.6592,-53.7767,77.81,85,88,10.16,overcast clouds
1,Vaini,TO,-21.2,-175.2,80.76,89,75,11.5,broken clouds
2,Inirida,CO,3.8653,-67.9239,78.39,90,44,2.15,scattered clouds
3,Komsomolskiy,UZ,40.4272,71.7189,70.52,52,73,6.91,broken clouds
4,Tomatlan,MX,19.9333,-105.25,87.26,37,45,9.98,scattered clouds
5,Santa Rosa,PH,14.3122,121.1114,82.38,72,100,5.61,overcast clouds
6,Kangaatsiaq,GL,68.3065,-53.4641,19.18,80,2,8.3,clear sky
7,Rikitea,PF,-23.1203,-134.9692,76.42,71,13,6.17,few clouds
8,Bluff,NZ,-46.6,168.3333,52.47,84,16,12.71,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,60,7.56,broken clouds
10,Faanui,PF,-16.4833,-151.75,81.16,72,17,9.4,few clouds
11,Cam Ranh,VN,11.9214,109.1591,76.96,88,20,4.61,few clouds
12,Hobart,AU,-42.8794,147.3294,59.22,81,75,0.0,broken clouds
13,Karpathos,GR,35.507,27.2132,62.56,82,100,18.41,overcast clouds
14,Sinop,TR,41.7711,34.8709,44.31,87,26,4.34,scattered clouds
15,Tharad,IN,24.3961,71.6267,84.49,64,23,13.53,few clouds
16,Busselton,AU,-33.65,115.3333,59.9,83,59,1.88,broken clouds
17,Beringovskiy,RU,63.05,179.3167,16.39,81,78,14.83,broken clouds
18,Alyangula,AU,-13.8483,136.4192,69.67,100,40,3.44,scattered clouds
19,Albany,US,42.6001,-73.9662,68.88,28,100,1.99,overcast clouds
20,Penzance,GB,50.1186,-5.5371,48.88,93,100,5.08,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.24,81,100,13.09,light rain
22,Saskylakh,RU,71.9167,114.0833,9.16,94,55,5.97,broken clouds
23,Kahului,US,20.8947,-156.47,78.82,75,40,23.02,light rain
24,Suba,PH,10.8438,121.0102,83.46,72,100,3.87,overcast clouds
25,Lavrentiya,RU,65.5833,-171.0,18.59,79,22,12.1,few clouds
26,Cidreira,BR,-30.1811,-50.2056,64.99,72,100,7.85,overcast clouds
27,Clyde River,CA,70.4692,-68.5914,12.43,85,100,16.11,light snow
28,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,88,39,2.82,scattered clouds
29,Hermanus,ZA,-34.4187,19.2345,58.8,90,51,10.0,broken clouds
30,Mumbwa,ZM,-14.9783,27.0619,57.56,73,0,5.1,clear sky
31,Namibe,AO,-15.1961,12.1522,75.74,63,29,4.52,scattered clouds
32,Hithadhoo,MV,-0.6,73.0833,85.51,70,100,15.68,overcast clouds
33,Ancud,CL,-41.8697,-73.8203,51.28,92,53,5.82,broken clouds
34,Sinjar,IQ,36.3209,41.8754,63.34,68,79,6.24,broken clouds
35,Hrubieszow,PL,50.805,23.8925,49.96,79,98,6.24,overcast clouds
