City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-04-25 17:28:55,-46.1927,168.8643,50.49,84,13,6.11
1,Conceicao Do Araguaia,BR,2022-04-25 17:28:55,-8.2578,-49.2647,88.0,56,23,7.31
2,Katsuura,JP,2022-04-25 17:25:12,35.1333,140.3,66.63,92,98,2.84
3,Port Elizabeth,ZA,2022-04-25 17:27:50,-33.918,25.5701,60.31,90,0,13.8
4,Vaini,TO,2022-04-25 17:25:10,-21.2,-175.2,71.76,94,100,18.41
5,Bluff,NZ,2022-04-25 17:28:56,-46.6,168.3333,50.81,65,17,22.57
6,Kruisfontein,ZA,2022-04-25 17:28:57,-34.0033,24.7314,56.88,78,65,7.38
7,Clyde River,CA,2022-04-25 17:28:57,70.4692,-68.5914,8.83,85,100,25.32
8,Flinders,AU,2022-04-25 17:26:15,-34.5833,150.8552,61.18,92,100,5.01
9,Busselton,AU,2022-04-25 17:21:08,-33.65,115.3333,62.4,79,96,20.11
10,Herat,AF,2022-04-25 17:26:16,34.5,62.0,70.47,28,93,7.7
11,Jamestown,US,2022-04-25 17:20:51,42.097,-79.2353,78.06,38,75,12.66
12,Punta Arenas,CL,2022-04-25 17:22:27,-53.15,-70.9167,44.71,81,75,17.27
13,Nara,JP,2022-04-25 17:28:58,34.6851,135.8049,66.49,70,100,2.51
14,Talnakh,RU,2022-04-25 17:21:08,69.4865,88.3972,-0.8,98,93,3.49
15,Ewo,CG,2022-04-25 17:29:00,-0.8725,14.8206,79.75,75,100,1.99
16,Kapaa,US,2022-04-25 17:19:34,22.0752,-159.319,74.12,83,20,14.97
17,Ribeira Grande,PT,2022-04-25 17:29:00,38.5167,-28.7,64.8,63,20,12.66
18,Saint-Pierre,RE,2022-04-25 17:26:19,-21.3393,55.4781,73.29,78,0,8.05
19,Thompson,CA,2022-04-25 17:29:01,55.7435,-97.8558,17.76,32,20,6.91
20,Bredasdorp,ZA,2022-04-25 17:26:20,-34.5322,20.0403,57.2,68,12,5.08
21,Provideniya,RU,2022-04-25 17:29:02,64.3833,-173.3,21.83,90,33,12.19
22,Barrow,US,2022-04-25 17:29:02,71.2906,-156.7887,10.42,79,100,6.91
23,Mar Del Plata,AR,2022-04-25 17:28:16,-38.0023,-57.5575,68.02,65,0,11.99
24,Henties Bay,NA,2022-04-25 17:29:03,-22.116,14.2845,63.07,70,0,7.52
25,Lorengau,PG,2022-04-25 17:29:03,-2.0226,147.2712,80.29,82,95,7.78
26,Albany,US,2022-04-25 17:28:11,42.6001,-73.9662,66.94,35,100,3.0
27,Roald,NO,2022-04-25 17:29:04,62.5833,6.1333,48.9,81,75,10.36
